Category;ID;QDanish;QEnglish;QDutch;Points;ADanish;AEnglish;ADutch;Assessment
Lunar;1;LUNAR er dygtig til indkøb og lavprissalg. Men kunderne stiller nye krav. En dag ringer Erik, en fast kunde, som har købt 200 elbokse til et nybyg. Boksene er leveret, men Erik er bekymret: De kan ikke nå at installere alle samme dag. For at undgå tyveri spørger Erik, om LUNAR kan hente de tiloversblevne bokse og aflevere dem igen dagen efter? LUNAR har aldrig fået det spørgsmål før. Giv 1 forslag til, hvad salgsmedarbejderen kan svare Erik og 1 bud på, hvad hun kan gøre, efter samtalen er slut?;LUNAR is adept at purchasing and low-cost sales. But customers are making new demands. One day, Erik calls, a regular customer who has bought 200 electrical boxes for a new building. The boxes have been delivered, but Erik is worried: They won't be able to install all the same day. To avoid theft, Erik asks if LUNAR can pick up the remaining boxes and return them the next day? LUNAR has never been asked that question before. Give 1 suggestion of what the sales associate can answer Erik and 1 suggestion of what she can do after the conversation is over?;LUNAR is bedreven in inkoop en goedkope verkoop. Maar klanten stellen nieuwe eisen. Op een dag belt Erik, een vaste klant die 200 elektriciteitskasten heeft gekocht voor een nieuw pand. De dozen zijn geleverd, maar Erik maakt zich zorgen: ze kunnen niet allemaal dezelfde dag nog worden geïnstalleerd. Om diefstal te voorkomen, vraagt Erik of LUNAR de resterende dozen kan ophalen en de volgende dag weer kan terugbrengen? Die vraag is LUNAR nog nooit eerder gesteld. Geef 1 suggestie van wat de verkoopmedewerker kan antwoorden Erik en 1 suggestie van wat ze kan doen nadat het gesprek is afgelopen?;0, 10, 20;10 point, når teamet har formuleret: 1 forslag til kundesvar + 1 bud på, hvad hun gør bagefter.;10 points when the team has formulated: 1 suggestion for customer responses + 1 suggestion for what she does next.;10 punten wanneer het team heeft geformuleerd: 1 suggestie voor klantreacties + 1 suggestie voor wat ze vervolgens doet.;Moderator
Lunar;2;"Onsdag får Lise, en intern sælger i LUNAR, et opkald fra en kunde, der spørger, hvordan nogle købte produkter skal installeres. 

Det viser sig i snakken, at kunden godt kan få installationen på plads. Men at kunden mangler nogle supplerende LUNAR-produkter for at lave en rigtig god løsning. Lise har tidligere haft svært ved den slags opkald, men hun er blevet god til det nu. Hvad bør Lise tale med kunden om? 
Hvordan motiverer virksomheder interne medarbejdere til at håndtere sådan et opkald godt? ";"On Wednesday, Lise, an internal sales representative at LUNAR, gets a call from a customer asking how some purchased products should be installed. 

It turns out in the talk that the customer can get the installation in place. But that the customer needs some complementary LUNAR products to make a really good solution. Lise has previously had difficulty with this kind of call, but she has become good at it now. What should Lise talk to the customer about? 
How do companies motivate internal employees to handle such a call well?";"Op woensdag krijgt Lise, een interne verkoopvertegenwoordiger bij LUNAR, een telefoontje van een klant met de vraag hoe sommige gekochte producten moeten worden geïnstalleerd. 

In het gesprek blijkt dat de klant de installatie op zijn plaats kan krijgen. Maar dat de klant een aantal complementaire LUNAR-producten nodig heeft om een echt goede oplossing te maken. Lise had voorheen moeite met dit soort telefoontjes, maar ze is er nu goed in geworden. Waar moet Lise met de klant over praten? 
Hoe motiveren bedrijven interne medewerkers om zo'n telefoontje goed af te handelen?";0, 10, 15;"10 point for at svare på begge spørgsmål.
5 ekstra point, hvis ordet ’mersalg’ nævnes i et svar.";"10 points for answering both questions.
5 extra points if the word 'upsell' is mentioned in a reply 12";"10 punten voor het beantwoorden van beide vragen.
5 extra punten als het woord 'upsell' in een antwoord wordt genoemd 12";Moderator
Megatrends;36;En kunde spørger om, de må leje et af virksomhedens populære produkter. Hvad skal virksomheden overveje, hvis de går leasing- eller abonnementsvejen?;A customer asks if they can rent one of the company's popular products. What should the company consider, if they go the leasing or subscription route?;Een klant vraagt of hij een van de de populaire producten van het bedrijf kan huren in plaats van kopen. Wat zouden de overwegingen van het bedrijf moeten zijn? Gaan ze voor leasing of abonnement?;0, 10;10 points;10 points;10 punten;Moderator
Megatrends;34;Et salgsteam er nysgerrig på bæredygtighed, men ved ikke, hvordan de kan bruge det. Drøft ud fra egne erfaringer, hvilke muligheder og udfordringer I ser?;A sales team is curious on sustainability, but don't know how they can use it. Discuss from your own experience, What options and challenges you see?;Een verkoopteam is nieuwsgierig op het gebied van duurzaamheid, maar ze weten niet hoe ze dat kunnen gebruiken. Bespreek vanuit eigen ervaring, Welke opties en uitdagingen zie je?;0, 20;20 points;20 points;20 punten;Moderator
Megatrends;35;Flere sælgere oplever, at kunderne spørger om virksomheden arbejder med FN´s Verdensmål. Bør salgschefen gøre noget på kort eller langt sigt?;"Several salespeople experience that customers ask if the company works with the UN's Sustainable Development Goals. 
Should the sales manager do something in the short or long term?";"Verschillende verkopers ervaren dat klanten vragen of het bedrijf werkt met de Sustainable Development Goals van de VN. 
Moet de salesmanager iets doen op korte of lange termijn?";0, 20;20 points;20 points;20 punten;Moderator
Megatrends;;"Bør en dansk producent
klimakompensere for sin
import fra Asien?";Should a Danish manufacturer climate compensate for their Imports from Asia?;Moet een Deense fabrikant aan klimaatcompensatie doen voor hun import uit Azië?;0, 5;;;;
Megatrends;;"En virksomhed vil arbejde
med FN´s Verdensmål.
Hvordan kan de inddrage
mål om fx vand, sult,
sundhed eller trivsel i det
strategiske salgsarbejde?";A company wants to work with the UN's Sustainable Development Goals. How can they get involved? goals such as water, hunger, health or well-being in it strategic sales work?;Een bedrijf wil werken met de Duurzame Ontwikkelingsdoelstellingen van de VN. Hoe kunnen ze meedoen? Hoe passen doelen zoals water, honger, gezondheid of welzijn in hun strategisch sales werk?;0, 20;;;;
Megatrends;;"Er der grænser for,
hvad en dansk
produktvirksomhed kan
sælge via digitale
salgskanaler? Drøft det
rundt om bordet.";Are there limits to what a Danish product company can sell via digital sales channels? Discuss it around the table.;Zijn er grenzen aan wat een Deens productbedrijf kan verkopen via digitaal verkoopkanalen? Bespreek het rond de tafel.;0, 10;;;;
Megatrends;;"Et lille firma har opdaget
et spændende udbud, som
kræver, at de går sammen
med andre virksomheder.
Hvordan griber det lille
firma dette an?";A small company has discovered an exciting range that demands that they join forces with other companies. How to grasp the little company this?;Een klein bedrijf heeft  een opwindend assortiment ontdekt, waarvoor zij hun krachten moeten bundelen met andere bedrijven. Hoe kan het kleine bedrijf deze kans pakken?;0, 20;;;;
Megatrends;;"Et par producenter er
begyndt at droppe
grossistleddet for at sælge
direkte til slutbrugerne.
Hvad bør grossistens gøre?";A few manufacturers are Started to drop wholesale to sell directly to the end users. What should the wholesaler do?;Een paar fabrikanten zijn begonnen de groothandel te passeren, om rechtstreeks aan de eindgebruikers te verkopen . Wat moet de groothandel doen?;0, 15;;;;
Megatrends;;"Fire store kunder ønsker
at gå sammen om
et større maskinkøb
og dele ejerskabet.
Hvilke udfordringer og
fordele kan det give
firmaet, der sælger?";Four major customers want to join forces A major machine purchase and share ownership. What challenges and benefits it can provide The company that sells?;Vier grote klanten willen de krachten te bundelen voor grote machine-aankoop en het eigendom delen. Welke uitdagingen en voordelen ziet het bedrijf dat de machine verkoopt?;0, 10;;;;
Megatrends;;"Flere virksomheder satser
på bæredygtighed, og
kunderne er vilde med det.
Drøft hvordan man kan
forretningsudvikle i
relation til bæredygtighed?";More companies are investing on sustainability, and Customers love it. Discuss how you can Business development in relation to sustainability?;Meer bedrijven investeren op het gebied van duurzaamheid, en klanten waarderen dat. Bespreek hoe je bedrijfsontwikkeling combineert met duurzaamheid.;0, 20;;;;
Megatrends;;"FN´s 17 Verdensmål
giver nye muligheder for at
differentiere sig og skabe
berettigelse i markedet.
Kan I nævne nogle af
verdensmålene?";The UN's 17 Sustainable Development Goals provides new opportunities to differentiate themselves and create market legitimacy. Can you name some of the the SDGs?;De 17 Duurzame Ontwikkelingsdoelen van de VN bieden nieuwe mogelijkheden om zich te onderscheiden en te creëren legitimiteit van de markt. Kunt u enkele van de de SDG's noemen?;0, 5;;;;
Megatrends;;"Hvilke fordele og ulemper
er der ved at etablere
samarbejde mellem en
producent og en
virksomhed, der sælger et
supplement til produktet?";What are the pros and cons is in the process of establishing cooperation between a manufacturer and a company that sells a supplement to the product?;Wat zijn de voor- en nadelen van het opzetten van een samenwerking tussen een fabrikant en een bedrijf dat een aanvulling op het product verkoopt?;0, 10;;;;
Megatrends;;"Hvilke grunde kan en SMV
have for at udvikle tiltag,
der handler om
bæredygtighed?";What reasons can an SME to develop actions, which is about Sustainability?;Welke redenen kan het MKB hebben om actie ten aanzien van duurzaamheid te ondernemen?;0, 10;;;;
Megatrends;;"Hvilke muligheder skaber
digitalisering for en
salgsorganisation?";What opportunities create digitalisation for a sales organization?;Welke kansen creëren digitalisering voor een verkooporganisatie?;0, 10;;;;
Megatrends;;"Hvilke teknologier får
størst betydning for jeres
brancher de næste tre år?
Fx AI, IOT, Blochchain etc.
Drøft rundt om bordet.";What technologies will most important to your industries in the next three years? E.g. AI, IOT, Blochchain etc. Discuss around the table.;Welke technologieën zullen het belangrijkst voor uw industrieën in de komende drie jaar? Bijv. AI, IOT, Blochchain enz. Bespreek rond de tafel.;0, 10;;;;
Megatrends;;"Hvis en virksomhed ønsker
at styrke salgsarbejdet
via kunstig intelligens:
Hvad kræver det så som
organisation, og hvordan
gribes en omstilling an?";If a company wants to strengthen sales efforts Via artificial intelligence: What does it take as a organisation and how Is a transition being approached?;Als een bedrijf de verkoopinspanningen wil versterken door middel van artificiële intelligentie, wat is daar dan voor nodig en hoe dient men dat aan te pakken?;0, 20;;;;
Megatrends;;"Hvor i jeres leverancer
kunne man arbejde med
en abonnementsmodel
eller udlejningstilgang?
Drøft potentialerne
rundt om bordet.";Where in your deliveries could be worked with A subscription model or rental approach? Discuss the potentials around the table.;Zou uw organisatie met een abonnementsmodel of huuraanpak kunnen werken? Bespreek de mogelijkheden rond de tafel.;0, 10;;;;
Megatrends;;"Hvorfor bør en dansk
virksomhed have et
indgående kendskab til
produktionsforholdene
hos en underleverandør
i et land langt væk?";Why should a Danish company have a in-depth knowledge of production conditions with a subcontractor in a country far away?;Waarom zou een Deense bedrijf hebben een Diepgaande kennis van Productieomstandigheden met een onderaannemer in een land ver weg?;0, 15;;;;
Megatrends;;"Hvornår giver det ikke
mening at skubbe
kunderne ind i en
webshop eller EDI?";When does it not give Meaning to push customers into a webshop or EDI?;Wanneer heeft het geen zin om klanten te bewegen in een webshop of via EDI te bestellen?;0, 10;;;;
Megatrends;;"Kan en mellemstor
virksomheds
klimakompensation øge
omsætningen?";Can a medium-sized Business Carbon offsetting increase Turnover?;Kan een middelgrote Zaak Verhoging van koolstofcompensatie Omzet?;0, 10;;;;
Megatrends;;"Mange kunder elsker den
personlige kontakt, men
ordregivning er nemmere
på en webshop. Hvordan
organiseres omstillingen,
så relationen ikke mistes?";Many customers love it personal contact, but Ordering is easier on a webshop. How the restructuring is organised, so that the relationship is not lost?;Veel klanten zijn dol op persoonlijk contact, maar bestellen is makkelijker op een webshop. Hoe bereikt een organisatie dat laatste, zonder dat de relatie verloren gaat?;0, 10;;;;
Megatrends;;"Nævn 3 udfordringer
relateret til miljø,
som er relevant for
en tøjproducent?";Name 3 challenges related to the environment, relevant to A clothing manufacturer?;Noem 3 uitdagingen met betrekking tot het milieu, die relevant zijn voor een kledingfabrikant?;0, 10;;;;
Safeline;23;"

Salgschefen Helle hører ofte fra kunder, at sælgerne kontakter de samme kunder og ikke har styr på, hvad der købes. For at styrke sælgernes overblik og kundens mødeinteresse beslutter Helle sig for, at sælgerne skal medbringe indsigter til kundemøder. Det oplagte er at trække data ud af CRM-systemet, men Helle overvejer, om der er andre steder, de kan trække data ud.
Hvordan sikrer salgschefen, at der skabes gode indsigter om markedet, så sælgerne kan tage det med på kundemøder?";"Sales manager Helle often hears from customers that the salespeople contact the same customers and do not have control over what is being bought. To strengthen the salespeople's overview and the customer's interest in meetings, Helle decides that the salespeople should bring insights to customer meetings. The obvious thing is to extract data from the CRM system, but Helle is considering whether there are other places they can extract data.
How does the sales manager ensure that good insights are created about the market so that the salespeople can bring it to customer meetings?";"Salesmanager Helle hoort vaak van klanten dat de verkopers contact opnemen met dezelfde klanten en geen controle hebben over wat er wordt gekocht. Om het overzicht van de verkopers en de interesse van de klant in vergaderingen te versterken, besluit Helle dat de verkopers inzichten moeten inbrengen in klantvergaderingen. Het ligt voor de hand om data uit het CRM-systeem te halen, maar Helle overweegt of er andere plekken zijn waar ze data kunnen extraheren.
Hoe zorgt de salesmanager ervoor dat er goede inzichten ontstaan over de markt, zodat de verkopers deze mee kunnen nemen naar klantbijeenkomsten?";0, 5, 10, 15, 20, 25, 30;"

5 point pr. svar. Max 6 svar.";"5 points per answer. Maximum 6 answers.
";"5 punten per antwoord. Maximaal 6 antwoorden.
";Moderator
Safeline;21;"CFO´en i Safeline stiller ofte spørgsmål til salgsafdelingen om kunder og marked. Det foregår ukoordineret og lidt tilfældigt. 

Salgschefen Helle har meget viden, som kunne bruges til bl.a. budgetplanlægning og markedsføring. Det bliver tydeligt for Helle, at hendes indsigt kan skabe værdi for virksomheden og styrke salgsafdelingens interne position.   Hvordan kan Safeline blive bedre til at koordinere vidensdeling om markedet?";"The CFO of Safeline often asks questions to the sales department about customers and the market. It takes place uncoordinated and somewhat haphazardly. 

Sales Manager Helle has a lot of knowledge that could be used for budget planning and marketing, among other things. It becomes clear to Helle that her insight can create value for the company and strengthen the sales department's internal position. How can Safeline become better at coordinating knowledge sharing about the market?";"De CFO van Safeline stelt vaak vragen aan de verkoopafdeling over klanten en de markt. Het gebeurt ongecoördineerd en enigszins lukraak. 

Sales Manager Helle heeft veel kennis die gebruikt kan worden voor onder andere budgetplanning en marketing. Het wordt Helle duidelijk dat haar inzicht waarde kan creëren voor het bedrijf en de interne positie van de verkoopafdeling kan versterken. Hoe kan Safeline beter worden in het coördineren van kennisdeling over de markt?";0, 5, 10, 15, 20, 25, 30, 35;"5 point pr. svar. Max 6 svar. 
5 ekstra point, hvis CFO’ens viden inddrages. ";"5 points per answer. Max 6 responses. 
5 extra points if the CFO's knowledge is involved.";"5 punten per antwoord. Max 6 reacties. 
5 extra punten als de kennis van de CFO in het geding is.";Moderator
Safeline;22;"Safeline synes, at de kender deres kunder godt og ved, hvad de primære kundebehov er. Men sælgerne oplever alligevel ofte, at en kunde ikke kan kende forskel på Safeline og konkurrenterne. 

Sælgerne snakker nu med salgschefen om, hvorvidt kunderne mon reelt oplever dem som kundeorienteret, og hvordan Safeline kan differentiere sig mere.  Hvordan gør Safeline sig mere lækker, og hvilke parametre kan de differentiere sig på?";"Safeline thinks they know their customers well and know what the primary customer needs are. However, salespeople often find that a customer cannot tell the difference between Safeline and competitors. 

The salespeople are now talking to the sales manager about whether customers really experience them as customer-oriented, and how Safeline can differentiate itself more. How does Safeline make itself more attractive and what parameters can they differentiate themselves on?";"Safeline denkt dat ze hun klanten goed kennen en weten wat de primaire behoeften van de klant zijn. Verkopers merken echter vaak dat een klant het verschil niet kan zien tussen Safeline en concurrenten. 

De verkopers zijn nu in gesprek met de salesmanager over de vraag of klanten hen echt als klantgericht ervaren, en hoe Safeline zich meer kan onderscheiden. Hoe maakt Safeline zichzelf aantrekkelijker en op welke parameters kunnen ze zich onderscheiden?";0, 5, 10, 15, 20, 25, 30, 35;"

5 point pr. svar.
5 ekstra point, hvis ’kort holdbarhed’ hos konkurrenterne nævnes.";"5 points per answer.
5 extra points if 'short shelf life' of competitors is mentioned.";"5 punten per antwoord.
5 extra punten als er sprake is van 'korte houdbaarheid' van concurrenten.";Moderator
Safeline;25;"Safelines ledelse er blevet opmærksom på, at salgsorganisation mangler forretningsorienteret forståelse ude hos kunderne. Det er et problem, for sælgernes forretningsforståelse er afgørende for deres evne til at rådgive kunden og sikre loyalitet over for Safeline som leverandør. Ledelsen vil nu producere et overblik over vigtige pains og gains.
Formuler 3 pains og 3 gains, der kan omsættes til indsigter, som sælgerne kan tage med ud til Safelines største kunder?";"Safeline's management has become aware that the sales organization lacks business-oriented understanding among customers. This is a problem, because the salespeople's business understanding is crucial for their ability to advise the customer and ensure loyalty to Safeline as a supplier. Management will now produce an overview of key pains and gains.
Formulate 3 pains and 3 gains that can be translated into insights that the salespeople can take out to Safeline's largest customers?";"Het management van Safeline is zich ervan bewust geworden dat de verkooporganisatie een gebrek heeft aan bedrijfsgericht begrip bij klanten. Dit is een probleem, omdat het zakelijk inzicht van de verkopers van cruciaal belang is voor hun vermogen om de klant te adviseren en loyaliteit aan Safeline als leverancier te garanderen. Het management zal nu een overzicht maken van de belangrijkste pijnpunten en winsten.
3 pijnpunten en 3 voordelen formuleren die kunnen worden vertaald in inzichten die de verkopers kunnen meenemen naar de grootste klanten van Safeline?";0, 10, 20;20 point ialt for 3 pains og 3 gains, der kan bruges af sælgerne.;"20 points in total for 3 pains and 3 gains that can be used by the sellers.
";"20 punten in totaal voor 3 pijnen en 3 winsten die door de verkopers kunnen worden gebruikt.
";Moderator
Safeline;24;"Safelines marketingafdeling har været i kontakt med et par kunder for at lave nogle portrætter til hjemmesiden. Via kundedialogerne har marketingsfolkene fået værdifuld information om udstyr, der snart skal opdateres og udskiftes. Ofte har kundeservice lignende dialoger med kunderne. Indsigterne kommer dog sjældent videre.
Hvilke fordele får Safeline, hvis de kobler viden mellem marketing, kundeservice og salg? ";"Safeline's marketing department has been in contact with a few customers to make some portraits for the website. Through the customer dialogues, the marketers have gained valuable information about equipment that will soon be updated and replaced. Customer service often has similar dialogues with customers. However, the insights rarely get any further.
What benefits does Safeline get if they link knowledge between marketing, customer service and sales?";"De marketingafdeling van Safeline heeft contact gehad met een aantal klanten om enkele portretten voor de website te maken. Door de klantdialogen hebben de marketeers waardevolle informatie verkregen over apparatuur die binnenkort zal worden bijgewerkt en vervangen. Klantenservice heeft vaak vergelijkbare dialogen met klanten. De inzichten komen echter zelden verder.
Welke voordelen krijgt Safeline als ze kennis koppelen tussen marketing, klantenservice en verkoop?";0, 10, 20, 30;10 point pr. fordel. Max 30 point.;10 points per advantage. Maximum 30 points.;"10 punten per voordeel. Maximaal 30 punten.
";Moderator
Sales management;31;En vigtig kunde ringer til en Key Account Manager og siger, at de ikke gider så mange møder længere. Drøft hvordan virksomheden bør reagere;An important customer calls a Key Account Manager and says they don't bother so many meetings longer. Discuss how the company should respond;Een belangrijke klant belt een Key Account Manager en zegt dat ze niet meer zoveel lange meetings willen. Bspreek hoe het bedrijf moet reageren;0, 5;5 points;5 points;5 punten;Moderator
Sales management;33;En virksomheds e-handel vokser. Det bekymrer sælgerne, som kan miste deres provision. Hvordan sikrer virksomheden, at sælgerne bakker op om webshoppen?;A company's e-commerce is growing. This is worrying the sellers, who may lose their commission. How does the company ensure that the salespeople support the webshop?;De e-commerce van een bedrijf groeit. Dit is zorgwekkend voor de verkopers, die hun commissie kunnen verliezen. Hoe zorgt het bedrijf ervoor dat de verkopers de webshop ondersteunen?;0, 5;5 points;5 points;5 punten;Moderator
Sales management;32;Sælgerne får ikke registreret kundedialoger i CRM-systemet. Hvad skal salgschefen gøre?;The salespeople do not register customer dialogues in CRM system. What should the sales manager do?;De verkopers registreren klantcontacten niet in het CRM-systeem. Wat moet de salesmanager doen?;0, 10;10 points;10 points;10 punten;Moderator
Sales management;;"Digitalisering har skabt nye
salgskanaler; webshop,
online markedspladser
og sociale medier. Det
øger trafikken på et firmas
website og webshop.
Hvordan får firmaet
integreret dette i ’human
to human’ salgsindsatsen?";"Digitalisation has created new sales channels; webshop, Online Marketplaces and social media. It increases traffic on a company's website and webshop. How to get the company integrated this into the 'humane' to human' sales efforts?";"Digitalisering biedt nieuwe verkoopkanalen; webshop, online marktplaatsen en sociale media. Het verhoogt het verkeer op de website van een bedrijf en in de webshop. Hoe combineert het bedrijf dit met de 'menselijke' kant van de verkoopinspanningen?";0, 10;;;;
Sales management;;"En adm. dir. vil have
flere nye kunder for at
sprede omsætningen ud
og mindske sårbarheden.
Hvilke 2 tiltag er vigtigst for
at iværksætte en indsats?";A CEO. want more new customers to spread out the turnover and reduce vulnerability. Which 2 initiatives are most important for to take action?;Een CEO wil meer nieuwe klanten, om de omzet te spreiden en de kwetsbaarheid te verminderen. Welke 2 initiatieven zijn het belangrijkst om te ondernemen?;0, 20;;;;
Sales management;;"En dansk virksomhed
oplever, at kunderne i DK
ikke gider mødes med
dem. Kunderne vil bare
ringe eller maile ordren
ind. Hvordan fastholder
virksomheden
kundeloyalitet
fremadrettet?
Nævn 2 tiltag.";A Danish company experience that customers in Denmark do not bother to meet with them. Customers just want to Call or email the order in. How to Retain Company Customer loyalty Forward? Name 2 initiatives.;Een Deens bedrijf ervaring die klanten in Denemarken ervaren Doe geen moeite om af te spreken hen. Klanten willen gewoon Bel of mail de bestelling in. Hoe te behouden Bedrijf Klantenbinding Voorwaarts? Noem 2 initiatieven.;0, 10;;;;
Sales management;;"En flok sælgere forstår ikke
begrebet ’kunderejse’
– hvad gør salgschefen,
og hvem i virksomheden
kan hjælpe med dette?";A bunch of salespeople don't understand The concept of 'customer journey' – what does the sales manager do, and who in the company can help with this?;Een stel verkopers begrijpt het concept 'customer journey' niet – wat doet de salesmanager, en wie in het bedrijf kan hierbij helpen?;0, 10;;;;
Sales management;;"En intern salgsafdeling og
kundeservice taler mange
gange dagligt med
kunderne; tager imod
ordrer og rådgiver om
produkter og services.
De er dog mindre
gode til mersalg.
Hvordan ændres dette?";"An internal sales department and customer service can withstand many times daily with Customers; Accepts orders and advises on products and services. However, they are smaller Good for upselling. How to change this?";"Een interne verkoopafdeling en klantenservice heeft intensief contact met klanten; neemt bestellingen aan en adviseert over producten en diensten. Ze zijn doen weining aan upselling. Hoe verander je dit?";0, 10;;;;
Sales management;;"En marketingmedarbejder
mener ikke, at
salgsafdelingen lægger
nok kræfter i de leads, der
genereres fra LinkedIn og
hjemmesiden. Hvem skal
håndtere denne tvist
og hvordan?";A marketer does not consider that sales department enough power in the leads that generated from LinkedIn and website. Who should Handle this dispute And how?;Een marketeer is van mening dat sales te weinig doet om leads te genereren via LinkedIn. Wie dient dit geschil op te lossen, en hoe?;0, 20;;;;
Sales management;;"En sælger, som normalt
er topperformer, har
underpræsteret i lang tid.
Hvad gør du som
salgschef?";A salesperson as usual is a top performer, has underperformed for a long time. What do you do as a Sales Manager?;Een verkoper die gewoonlijk een toppresteerder is, heeft lange tijd ondermaats gepresteerd. Wat doe je als salesmanager?;0, 10;;;;
Sales management;;"En salgschef undrer sig
over, at sælgerne sætter
tempoet ned, når
budgettet er inden
for rækkevidde.
Hvordan holder chefen
sælgernes damp oppe
uden at give dem en
økonomisk gulerod?";A sales manager wonders that the sellers put slow down when budget is within for reach. How does the boss hold Sellers' steam up without giving them a economic carrot?;Een salesmanager vraagt zich af die de verkopers vertragen wanneer de targets binnen bereik zijn. Hoe houdt de baas de vekopers scherp zonder ze een extra economische wortel voor te houden?;0, 10;;;;
Sales management;;"En salgsstrategi om
faglighed og kvalificeret
kunderådgivning er under
pres, fordi flere store
kunder skifter til
konkurrenterne. En
mulighed er at give rabat
for at få hurtig effekt.
Hvad kan en salgsansvarlig
ellers gøre?";A sales strategy about professionalism and qualified customer advice is under pressure, because several large Customers switch to Competitors. One Possibility is to give a discount to get a quick effect. What can a sales manager do Otherwise do?;Een verkoopstrategie gebaseerd op professionaliteit en gedegen klantadvies staat onder druk, omdat verschillende grote klanten stappen over naar concurrenten. Een mogelijkheid is om korting te geven om een snel effect te krijgen. Welke alternatieven heeft de salesmanager doen?;0, 20;;;;
Sales management;;"Flere af en virksomheds
største kunder ønsker at få
jer tættere på deres drift.
De efterlyser kommerciel
sparring med salgsstyrken
- kompetencer ikke alle
sælgerne besidder.
Hvad gør salgschefen?";Several of a company's biggest customers want to get closer to their operations. They are looking for commercial Sparring with the sales force - Competencies not all the sellers possess. What does the sales manager do?;Een aantal van de grootste klanten van een bedrijf willen de operatie verbeteren. Ze willen sparren met de accountmanagers - dat vergt competenties die niet alle accountmanagers bezitten. Wat doet de salesmanager?;0, 20;;;;
Sales management;;"Flere sælgere kører ud
til kunder, som ikke
køber ret meget.
Det vil chefen ændre, fordi
lønsomheden er for dårlig.
Peg på 3 mulige tiltag?";More salespeople drive out to customers who do not buy quite a lot. The boss wants to change this because profitability is too poor. Point to 3 possible actions?;Veel verkopers bezoeken klanten die niet veel kopen. De salesmanager wil hier verandering in brengen omdat de winstgevendheid te laag is. Noem 3 mogelijke acties.;0, 10;;;;
Sales management;;"Mange nye teknologier kan
effektivisere salget. Drøft
hvilke teknologier, der er
mest interessante at
arbejde med hos jer de
næste 12 måneder?";Many new technologies can streamline sales. Discuss what technologies are Most interesting that work with you Next 12 months?;Veel nieuwe technologieën kunnen de verkoopprocessen stroomlijnen. Bespreek welke technologieën het meest interessant zijn om in de komende 12 maanden mee aan de slag te gaan.;0, 10;;;;
Top of the World;8;"En kunde, der har 50 high end hifi-butikker, har besøgt Top of the World på en messe i USA, hvor de fik en god snak om produkternes kvalitet. Efterfølgende har kunden besøgt hjemmesiden for at downloade brochurer. Nu ringer kunden ind til kundeservice for at få lidt mere info om nogle efterservices, fordi de er ved at beslutte, om de skal vælge Top of the World.   
Hvilke tre touchpoints er vigtigst i forhold til at skabe mersalg for Top of the World? ";"A customer who has 50 high-end hi-fi stores has visited Top of the World at a trade fair in the United States, where they had a good talk about the quality of the products. Subsequently, the customer has visited the website to download brochures. Now the customer calls customer service to get a little more info about some after-services, because they are deciding whether to choose Top of the World.
Which three touchpoints are most important in terms of creating additional sales for Top of the World?";"Een klant die 50 high-end hifi-winkels heeft, heeft Top of the World bezocht op een beurs in de Verenigde Staten, waar ze een goed gesprek hadden over de kwaliteit van de producten. Vervolgens heeft de klant de website bezocht om brochures te downloaden. Nu belt de klant de klantenservice om wat meer informatie te krijgen over enkele after-services, omdat ze beslissen of ze voor Top of the World kiezen.
Welke drie touchpoints zijn het belangrijkst voor het creëren van extra omzet voor Top of the World?";0, 10;"
I får 10 point, hvis I kan give tre touchpoints.   ";"You get 10 points if you can give three touchpoints.
";"Je krijgt 10 punten als je drie touchpoints kunt geven.
";Moderator
Top of the World;6;"Budgetplanlægningen står for døren i virksomheden Top of the World. Jens har som erfaren salgschef en del input til processen. Desværre har Jens ikke rigtig nogen indflydelse på salgsafdelingens budget, selvom det jo er budgettet, som sætter kursen. 

Det er Jens træt af, for han synes, at hans indsigter og idéer er vigtige. Jens vil gerne ændre på arbejdsgangen.  Hvilken afdeling går Jens til for at få info om budgetmål, og hvilke argumenter bruger han for at få budgetindflydelse? ";"Budget planning is just around the corner in the company Top of the World. As an experienced sales manager, Jens has a lot of input to the process. Unfortunately, Jens does not really have any influence on the sales department's budget, even though it is the budget that sets the course. 

Jens is tired of this, because he thinks his insights and ideas are important. Jens would like to change the workflow. Which department does Jens go to to get info about budget targets, and what arguments does he use to gain budget influence?";"Budgetplanning staat voor de deur in het bedrijf Top of the World. Als ervaren salesmanager heeft Jens veel inbreng in het proces. Helaas heeft Jens niet echt invloed op het budget van de verkoopafdeling, ook al is het het budget dat de koers bepaalt. 

Jens is dit beu, omdat hij zijn inzichten en ideeën belangrijk vindt. Jens wil graag de workflow veranderen. Naar welke afdeling gaat Jens om informatie te krijgen over budgetdoelstellingen, en welke argumenten gebruikt hij om budgetinvloed te krijgen?";0, 10;I får 10 point i alt, hvis de to spørgmål besvares med gode argumenter.;You get 10 points in total if the two questions are answered with good arguments.;Je krijgt in totaal 10 punten als de twee vragen met goede argumenten worden beantwoord.;Moderator
